"Population by disability type","Number"
"Blind/low vision",""
"Female","109"
"Male","94"
"","203"
"Deaf/hard of hearing",""
"Female","13"
"Male","16"
"","29"
"Deaf-Blind",""
"Female","1"
"Male","2"
"","3"
"Intellectual disable",""
"Female","5"
"Male","8"
"","13"
"Mental disable",""
"Female","2"
"Male","10"
"","12"
"Multiple disable",""
"Female","11"
"Male","5"
"","16"
"No disability",""
"Female","12856"
"Male","13412"
"","26268"
"Physical",""
"Female","27"
"Male","58"
"","85"
"Speech problem",""
"Female","13"
"Male","29"
"","42"
