"Industries Employment","Number"
"Accommodation,  food",""
"Female","18791"
"Male","26990"
"Administrative, support service",""
"Female","343"
"Male","2812"
"Agriculture, forestry and  fishing",""
"Female","5683"
"Male","9685"
"Arts, entertainment, recreation",""
"Female","304"
"Male","882"
"Construction",""
"Female","152"
"Male","941"
"Education",""
"Female","33084"
"Male","42499"
"Electricity, gas and water",""
"Female","212"
"Male","1111"
"Financial intermediation and insurance",""
"Female","10917"
"Male","11045"
"Health, social work",""
"Female","11228"
"Male","8365"
"Information and communication",""
"Female","694"
"Male","2363"
"Manufacturing",""
"Female","19747"
"Male","73959"
"Other service activities",""
"Female","6895"
"Male","14104"
"Professional, scientific, techniqual activity",""
"Female","504"
"Male","2114"
"Real estate, renting and business activity",""
"Female","19"
"Male","84"
"Transportation,  storage",""
"Female","523"
"Male","2418"
"Water supply, wet management",""
"Female","1239"
"Male","2298"
"Wholesale, retail trade",""
"Female","56999"
"Male","103814"
