"Employed Population by Occupation","Number"
"Clerical support workers",""
"Female","15000"
"Male","18000"
"Craft and Related Trade Workers",""
"Female","44000"
"Male","169000"
"Elementary Occupation",""
"Female","90000"
"Male","121000"
"Managers",""
"Female","0"
"Male","9000"
"Not elsewhere classified",""
"Female","0"
"Male","2000"
"Plant and Machines Operaters and Assemblers",""
"Female","1000"
"Male","61000"
"Professionals",""
"Female","41000"
"Male","56000"
"Service and Sales Workers",""
"Female","103000"
"Male","148000"
"Skilled agricultural, forestry and fishery workers",""
"Female","136000"
"Male","84000"
"Technician and Associate Professional",""
"Female","14000"
"Male","27000"
