"Population by disability type","Number"
"Blind/low vision",""
"Female","70"
"Male","46"
"","116"
"Deaf/hard of hearing",""
"Female","32"
"Male","29"
"","61"
"Deaf-Blind",""
"Female","8"
"Male","7"
"","15"
"Intellectual disable",""
"Female","14"
"Male","16"
"","30"
"Mental disable",""
"Female","18"
"Male","33"
"","51"
"Multiple disable",""
"Female","27"
"Male","23"
"","50"
"No disability",""
"Female","31548"
"Male","31368"
"","62916"
"Physical",""
"Female","74"
"Male","116"
"","190"
"Speech problem",""
"Female","19"
"Male","35"
"","54"
