"Population by disability type","Number"
"Blind/low vision",""
"Female","45"
"Male","41"
"","86"
"Deaf/hard of hearing",""
"Female","24"
"Male","20"
"","44"
"Deaf-Blind",""
"Female","2"
"Male","2"
"","4"
"Intellectual disable",""
"Female","1"
"Male","2"
"","3"
"Mental disable",""
"Female","5"
"Male","10"
"","15"
"Multiple disable",""
"Female","8"
"Male","12"
"","20"
"No disability",""
"Female","16105"
"Male","16622"
"","32727"
"Physical",""
"Female","44"
"Male","64"
"","108"
"Speech problem",""
"Female","16"
"Male","25"
"","41"
