"Population by Single Year of Age","Number"
"0",""
"Female","275"
"Male","274"
"1",""
"Female","254"
"Male","245"
"10",""
"Female","623"
"Male","685"
"11",""
"Female","232"
"Male","263"
"12",""
"Female","493"
"Male","525"
"13",""
"Female","251"
"Male","248"
"14",""
"Female","339"
"Male","356"
"15",""
"Female","284"
"Male","396"
"16",""
"Female","276"
"Male","350"
"17",""
"Female","156"
"Male","245"
"18",""
"Female","334"
"Male","428"
"19",""
"Female","116"
"Male","144"
"2",""
"Female","392"
"Male","446"
"20",""
"Female","412"
"Male","432"
"21",""
"Female","89"
"Male","151"
"22",""
"Female","249"
"Male","331"
"23",""
"Female","158"
"Male","143"
"24",""
"Female","161"
"Male","192"
"25",""
"Female","460"
"Male","506"
"26",""
"Female","144"
"Male","173"
"27",""
"Female","130"
"Male","165"
"28",""
"Female","340"
"Male","300"
"29",""
"Female","48"
"Male","74"
"3",""
"Female","479"
"Male","484"
"30",""
"Female","605"
"Male","577"
"31",""
"Female","72"
"Male","53"
"32",""
"Female","240"
"Male","234"
"33",""
"Female","122"
"Male","81"
"34",""
"Female","105"
"Male","88"
"35",""
"Female","496"
"Male","643"
"36",""
"Female","106"
"Male","144"
"37",""
"Female","77"
"Male","100"
"38",""
"Female","245"
"Male","151"
"39",""
"Female","28"
"Male","56"
"4",""
"Female","443"
"Male","429"
"40",""
"Female","422"
"Male","596"
"41",""
"Female","26"
"Male","45"
"42",""
"Female","108"
"Male","126"
"43",""
"Female","60"
"Male","51"
"44",""
"Female","34"
"Male","45"
"45",""
"Female","329"
"Male","449"
"46",""
"Female","35"
"Male","47"
"47",""
"Female","30"
"Male","48"
"48",""
"Female","123"
"Male","88"
"49",""
"Female","9"
"Male","22"
"5",""
"Female","496"
"Male","565"
"50",""
"Female","255"
"Male","333"
"51",""
"Female","22"
"Male","18"
"52",""
"Female","46"
"Male","62"
"53",""
"Female","39"
"Male","26"
"54",""
"Female","31"
"Male","20"
"55",""
"Female","260"
"Male","254"
"56",""
"Female","40"
"Male","47"
"57",""
"Female","33"
"Male","32"
"58",""
"Female","73"
"Male","52"
"59",""
"Female","15"
"Male","18"
"6",""
"Female","439"
"Male","500"
"60",""
"Female","303"
"Male","322"
"61",""
"Female","12"
"Male","29"
"62",""
"Female","53"
"Male","47"
"63",""
"Female","21"
"Male","15"
"64",""
"Female","20"
"Male","25"
"65",""
"Female","272"
"Male","253"
"66",""
"Female","19"
"Male","26"
"67",""
"Female","17"
"Male","21"
"68",""
"Female","41"
"Male","52"
"69",""
"Female","9"
"Male","15"
"7",""
"Female","402"
"Male","416"
"70",""
"Female","196"
"Male","226"
"71",""
"Female","11"
"Male","14"
"72",""
"Female","27"
"Male","41"
"73",""
"Female","7"
"Male","7"
"74",""
"Female","4"
"Male","7"
"75",""
"Female","74"
"Male","87"
"76",""
"Female","11"
"Male","6"
"77",""
"Female","5"
"Male","7"
"78",""
"Female","5"
"Male","9"
"79",""
"Female","1"
"Male","2"
"8",""
"Female","569"
"Male","544"
"80",""
"Female","26"
"Male","33"
"81",""
"Female","2"
"Male","0"
"82",""
"Female","2"
"Male","5"
"84",""
"Female","1"
"Male","1"
"85",""
"Female","35"
"Male","21"
"9",""
"Female","267"
"Male","271"
