"Population by Single Year of Age","Number"
"0",""
"Female","150"
"Male","161"
"1",""
"Female","118"
"Male","103"
"10",""
"Female","212"
"Male","213"
"11",""
"Female","198"
"Male","175"
"12",""
"Female","245"
"Male","251"
"13",""
"Female","225"
"Male","192"
"14",""
"Female","214"
"Male","199"
"15",""
"Female","230"
"Male","194"
"16",""
"Female","209"
"Male","169"
"17",""
"Female","187"
"Male","170"
"18",""
"Female","197"
"Male","133"
"19",""
"Female","165"
"Male","83"
"2",""
"Female","153"
"Male","144"
"20",""
"Female","148"
"Male","89"
"21",""
"Female","169"
"Male","74"
"22",""
"Female","225"
"Male","72"
"23",""
"Female","137"
"Male","40"
"24",""
"Female","150"
"Male","67"
"25",""
"Female","156"
"Male","55"
"26",""
"Female","154"
"Male","64"
"27",""
"Female","116"
"Male","49"
"28",""
"Female","130"
"Male","54"
"29",""
"Female","84"
"Male","39"
"3",""
"Female","137"
"Male","148"
"30",""
"Female","165"
"Male","56"
"31",""
"Female","59"
"Male","36"
"32",""
"Female","110"
"Male","54"
"33",""
"Female","85"
"Male","30"
"34",""
"Female","74"
"Male","40"
"35",""
"Female","167"
"Male","52"
"36",""
"Female","84"
"Male","42"
"37",""
"Female","73"
"Male","25"
"38",""
"Female","92"
"Male","52"
"39",""
"Female","72"
"Male","50"
"4",""
"Female","151"
"Male","156"
"40",""
"Female","164"
"Male","68"
"41",""
"Female","75"
"Male","28"
"42",""
"Female","85"
"Male","46"
"43",""
"Female","65"
"Male","40"
"44",""
"Female","33"
"Male","33"
"45",""
"Female","111"
"Male","67"
"46",""
"Female","54"
"Male","31"
"47",""
"Female","48"
"Male","36"
"48",""
"Female","66"
"Male","45"
"49",""
"Female","48"
"Male","25"
"5",""
"Female","196"
"Male","195"
"50",""
"Female","133"
"Male","95"
"51",""
"Female","49"
"Male","45"
"52",""
"Female","64"
"Male","63"
"53",""
"Female","49"
"Male","44"
"54",""
"Female","41"
"Male","36"
"55",""
"Female","81"
"Male","61"
"56",""
"Female","45"
"Male","45"
"57",""
"Female","47"
"Male","49"
"58",""
"Female","60"
"Male","51"
"59",""
"Female","51"
"Male","45"
"6",""
"Female","147"
"Male","175"
"60",""
"Female","97"
"Male","67"
"61",""
"Female","59"
"Male","40"
"62",""
"Female","71"
"Male","50"
"63",""
"Female","52"
"Male","39"
"64",""
"Female","31"
"Male","39"
"65",""
"Female","79"
"Male","60"
"66",""
"Female","30"
"Male","33"
"67",""
"Female","39"
"Male","39"
"68",""
"Female","44"
"Male","53"
"69",""
"Female","22"
"Male","21"
"7",""
"Female","197"
"Male","190"
"70",""
"Female","61"
"Male","51"
"71",""
"Female","21"
"Male","17"
"72",""
"Female","26"
"Male","35"
"73",""
"Female","15"
"Male","21"
"74",""
"Female","14"
"Male","14"
"75",""
"Female","26"
"Male","34"
"76",""
"Female","12"
"Male","21"
"77",""
"Female","20"
"Male","16"
"78",""
"Female","22"
"Male","18"
"79",""
"Female","14"
"Male","13"
"8",""
"Female","170"
"Male","203"
"80",""
"Female","26"
"Male","16"
"81",""
"Female","9"
"Male","9"
"82",""
"Female","5"
"Male","13"
"83",""
"Female","2"
"Male","9"
"84",""
"Female","10"
"Male","11"
"85",""
"Female","34"
"Male","29"
"9",""
"Female","167"
"Male","168"
