"Population by disability type","Number"
"Blind/low vision",""
"Female","75"
"Male","86"
"","161"
"Deaf/hard of hearing",""
"Female","80"
"Male","83"
"","163"
"Deaf-Blind",""
"Female","4"
"Male","5"
"","9"
"Intellectual disable",""
"Female","21"
"Male","23"
"","44"
"Mental disable",""
"Female","41"
"Male","29"
"","70"
"Multiple disable",""
"Female","43"
"Male","42"
"","85"
"No disability",""
"Female","16633"
"Male","15338"
"","31971"
"Physical",""
"Female","155"
"Male","203"
"","358"
"Speech problem",""
"Female","34"
"Male","32"
"","66"
