"Population by disability type","Number"
"Blind/low vision",""
"Female","41"
"Male","32"
"","73"
"Deaf/hard of hearing",""
"Female","17"
"Male","24"
"","41"
"Deaf-Blind",""
"Female","3"
"Male","2"
"","5"
"Intellectual disable",""
"Female","5"
"Male","10"
"","15"
"Mental disable",""
"Female","17"
"Male","18"
"","35"
"Multiple disable",""
"Female","17"
"Male","22"
"","39"
"No disability",""
"Female","17814"
"Male","16414"
"","34228"
"Physical",""
"Female","46"
"Male","103"
"","149"
"Speech problem",""
"Female","26"
"Male","27"
"","53"
