"Population by disability type","Number"
"Blind/low vision",""
"Female","49"
"Male","66"
"","115"
"Deaf/hard of hearing",""
"Female","24"
"Male","44"
"","68"
"Deaf-Blind",""
"Female","9"
"Male","8"
"","17"
"Intellectual disable",""
"Female","11"
"Male","22"
"","33"
"Mental disable",""
"Female","23"
"Male","41"
"","64"
"Multiple disable",""
"Female","33"
"Male","24"
"","57"
"No disability",""
"Female","26612"
"Male","24603"
"","51215"
"Physical",""
"Female","126"
"Male","196"
"","322"
"Speech problem",""
"Female","45"
"Male","77"
"","122"
