"Population by Caste/Ethinicity","Number"
"Baraee",""
"Female","265"
"Male","292"
"Bin",""
"Female","271"
"Male","263"
"Brahman - Hill",""
"Female","304"
"Male","332"
"Brahman - Tarai",""
"Female","372"
"Male","447"
"Chamar/ Harijan/ Ram",""
"Female","613"
"Male","650"
"Dhanuk",""
"Female","142"
"Male","158"
"Dhobi",""
"Female","409"
"Male","454"
"Dom",""
"Female","7"
"Male","4"
"Dusadh/ Pasawan/ Pasi",""
"Female","464"
"Male","489"
"Hajam/Thakur",""
"Female","238"
"Male","212"
"Halwai",""
"Female","126"
"Male","135"
"Kalar",""
"Female","4"
"Male","10"
"Kalwar",""
"Female","567"
"Male","609"
"Kanu",""
"Female","117"
"Male","121"
"Kayastha",""
"Female","54"
"Male","57"
"Kewat",""
"Female","64"
"Male","64"
"Khatwe",""
"Female","540"
"Male","612"
"Koiri/Kushwaha",""
"Female","774"
"Male","816"
"Kumhar",""
"Female","545"
"Male","629"
"Kurmi",""
"Female","431"
"Male","459"
"Lohar",""
"Female","227"
"Male","253"
"Mali",""
"Female","19"
"Male","11"
"Musahar",""
"Female","225"
"Male","265"
"Musalman",""
"Female","397"
"Male","391"
"Nuniya",""
"Female","487"
"Male","486"
"Others",""
"Female","25"
"Male","20"
"Rai",""
"Female","18"
"Male","17"
"Rajput",""
"Female","420"
"Male","481"
"Sanyasi/Dasnami",""
"Female","29"
"Male","29"
"Sonar",""
"Female","48"
"Male","52"
"Sudhi",""
"Female","119"
"Male","140"
"Tatma/Tatwa",""
"Female","121"
"Male","128"
"Teli",""
"Female","655"
"Male","705"
"Undefined Others",""
"Female","6"
"Male","8"
"Yadav",""
"Female","2784"
"Male","3062"
