"Population by Educational Attainment","Number"
"Beginners",""
"Female","91"
"Male","92"
"","183"
"Graduate and Equivalent",""
"Female","10"
"Male","39"
"","49"
"Intermediate and Equivalent",""
"Female","125"
"Male","152"
"","277"
"Level not Stated",""
"Female","22"
"Male","29"
"","51"
"Lower Secondary (Class 6-8)",""
"Female","1047"
"Male","1004"
"","2051"
"Non Formal Education",""
"Female","344"
"Male","415"
"","759"
"Others",""
"Female","5"
"Male","6"
"","11"
"Post Graduate Equivalent and Above",""
"Female","2"
"Male","14"
"","16"
"Primary Education (1-5 Class)",""
"Female","2006"
"Male","2083"
"","4089"
"Secondary Level (Class 9-10)",""
"Female","631"
"Male","721"
"","1352"
"SLC and Equivalent",""
"Female","465"
"Male","490"
"","955"
