"Population by disability type","Number"
"Blind/low vision",""
"Female","31"
"Male","20"
"","51"
"Deaf/hard of hearing",""
"Female","4"
"Male","9"
"","13"
"Deaf-Blind",""
"Female","1"
"Male","1"
"","2"
"Intellectual disable",""
"Female","4"
"Male","5"
"","9"
"Mental disable",""
"Female","5"
"Male","10"
"","15"
"Multiple disable",""
"Female","5"
"Male","7"
"","12"
"No disability",""
"Female","12688"
"Male","13542"
"","26230"
"Physical",""
"Female","26"
"Male","40"
"","66"
"Speech problem",""
"Female","9"
"Male","17"
"","26"
