"Population by Educational Attainment","Number"
"Beginners",""
"Female","789"
"Male","1010"
"","1799"
"Graduate and Equivalent",""
"Female","135"
"Male","450"
"","585"
"Intermediate and Equivalent",""
"Female","554"
"Male","871"
"","1425"
"Level not Stated",""
"Female","230"
"Male","133"
"","363"
"Lower Secondary (Class 6-8)",""
"Female","3565"
"Male","4360"
"","7925"
"Non Formal Education",""
"Female","550"
"Male","422"
"","972"
"Others",""
"Female","19"
"Male","17"
"","36"
"Post Graduate Equivalent and Above",""
"Female","21"
"Male","87"
"","108"
"Primary Education (1-5 Class)",""
"Female","7143"
"Male","8078"
"","15221"
"Secondary Level (Class 9-10)",""
"Female","1750"
"Male","2313"
"","4063"
"SLC and Equivalent",""
"Female","719"
"Male","1195"
"","1914"
