"Population by disability type","Number"
"Blind/low vision",""
"Female","12"
"Male","25"
"","37"
"Deaf/hard of hearing",""
"Female","5"
"Male","5"
"","10"
"Deaf-Blind",""
"Female","2"
"Male","2"
"","4"
"Intellectual disable",""
"Female","0"
"Male","0"
"","0"
"Mental disable",""
"Female","8"
"Male","15"
"","23"
"Multiple disable",""
"Female","4"
"Male","3"
"","7"
"No disability",""
"Female","10819"
"Male","11820"
"","22639"
"Physical",""
"Female","15"
"Male","33"
"","48"
"Speech problem",""
"Female","8"
"Male","11"
"","19"
