"Population by Caste Ethinicity","Number"
"Badhaee",""
"Female","25"
"Male","22"
"","47"
"Baraee",""
"Female","370"
"Male","381"
"","751"
"Bin",""
"Female","220"
"Male","233"
"","453"
"Brahman - Hill",""
"Female","14"
"Male","17"
"","31"
"Brahman - Tarai",""
"Female","121"
"Male","95"
"","216"
"Chamar/ Harijan/ Ram",""
"Female","420"
"Male","341"
"","761"
"Chhetri",""
"Female","69"
"Male","66"
"","135"
"Dhanuk",""
"Female","268"
"Male","240"
"","508"
"Dhobi",""
"Female","148"
"Male","145"
"","293"
"Dhunia",""
"Female","96"
"Male","83"
"","179"
"Dom",""
"Female","24"
"Male","20"
"","44"
"Dusadh/ Pasawan/ Pasi",""
"Female","430"
"Male","428"
"","858"
"Gharti/Bhujel",""
"Female","18"
"Male","14"
"","32"
"Hajam/Thakur",""
"Female","222"
"Male","253"
"","475"
"Halkhor",""
"Female","6"
"Male","7"
"","13"
"Halwai",""
"Female","158"
"Male","149"
"","307"
"Jhangad/ Dhagar",""
"Female","11"
"Male","11"
"","22"
"Kahar",""
"Female","8"
"Male","4"
"","12"
"Kami",""
"Female","17"
"Male","10"
"","27"
"Kathabaniyan",""
"Female","346"
"Male","357"
"","703"
"Kayastha",""
"Female","7"
"Male","18"
"","25"
"Kewat",""
"Female","2095"
"Male","1922"
"","4017"
"Khatwe",""
"Female","638"
"Male","607"
"","1245"
"Koiri/Kushwaha",""
"Female","48"
"Male","39"
"","87"
"Kumal",""
"Female","233"
"Male","205"
"","438"
"Kumhar",""
"Female","67"
"Male","56"
"","123"
"Kurmi",""
"Female","88"
"Male","79"
"","167"
"Lohar",""
"Female","31"
"Male","35"
"","66"
"Mali",""
"Female","27"
"Male","23"
"","50"
"Mallaha",""
"Female","782"
"Male","715"
"","1497"
"Musahar",""
"Female","368"
"Male","355"
"","723"
"Musalman",""
"Female","1948"
"Male","1843"
"","3791"
"Nuniya",""
"Female","282"
"Male","239"
"","521"
"Others",""
"Female","14"
"Male","13"
"","27"
"Punjabi/Sikh",""
"Female","47"
"Male","34"
"","81"
"Rajput",""
"Female","16"
"Male","21"
"","37"
"Sanyasi/Dasnami",""
"Female","38"
"Male","39"
"","77"
"Sonar",""
"Female","93"
"Male","85"
"","178"
"Sudhi",""
"Female","191"
"Male","180"
"","371"
"Sunuwar",""
"Female","19"
"Male","17"
"","36"
"Tamang",""
"Female","67"
"Male","63"
"","130"
"Tatma/Tatwa",""
"Female","551"
"Male","457"
"","1008"
"Teli",""
"Female","384"
"Male","419"
"","803"
"Terai Others",""
"Female","16"
"Male","15"
"","31"
"Thakuri",""
"Female","6"
"Male","5"
"","11"
"Yadav",""
"Female","1982"
"Male","1949"
"","3931"
