"Population by disability type","Number"
"Blind/low vision",""
"Female","25"
"Male","29"
"","54"
"Deaf/hard of hearing",""
"Female","14"
"Male","16"
"","30"
"Deaf-Blind",""
"Female","4"
"Male","5"
"","9"
"Intellectual disable",""
"Female","9"
"Male","12"
"","21"
"Mental disable",""
"Female","11"
"Male","12"
"","23"
"Multiple disable",""
"Female","15"
"Male","11"
"","26"
"No disability",""
"Female","12901"
"Male","12154"
"","25055"
"Physical",""
"Female","44"
"Male","57"
"","101"
"Speech problem",""
"Female","6"
"Male","13"
"","19"
