"Population by Educational Attainment","Number"
"Beginners",""
"Female","1612"
"Male","1797"
"Graduate and Equivalent",""
"Female","231"
"Male","517"
"Intermediate and Equivalent",""
"Female","904"
"Male","1406"
"Level not Stated",""
"Female","92"
"Male","128"
"Lower Secondary (Class 6-8)",""
"Female","4828"
"Male","5492"
"Non Formal Education",""
"Female","1137"
"Male","717"
"Others",""
"Female","21"
"Male","30"
"Post Graduate Equivalent and Above",""
"Female","45"
"Male","191"
"Primary Education (1-5 Class)",""
"Female","9407"
"Male","10460"
"Secondary Level (Class 9-10)",""
"Female","2493"
"Male","3245"
"SLC and Equivalent",""
"Female","1313"
"Male","1894"
