"Population by Caste/Ethinicity","Number"
"Badhaee",""
"Female","384"
"Male","381"
"Badi",""
"Female","37"
"Male","31"
"Bangali",""
"Female","95"
"Male","98"
"Baraee",""
"Female","822"
"Male","907"
"Brahman - Hill",""
"Female","3085"
"Male","2920"
"Brahman - Tarai",""
"Female","623"
"Male","633"
"Chamar/ Harijan/ Ram",""
"Female","1535"
"Male","1601"
"Chhetri",""
"Female","1218"
"Male","1147"
"Dalit Others",""
"Female","615"
"Male","605"
"Damai/Dholi",""
"Female","149"
"Male","150"
"Dhandi",""
"Female","28"
"Male","25"
"Dhankar/ Dharikar",""
"Female","34"
"Male","23"
"Dhanuk",""
"Female","251"
"Male","261"
"Dhobi",""
"Female","855"
"Male","804"
"Dhunia",""
"Female","132"
"Male","131"
"Dusadh/ Pasawan/ Pasi",""
"Female","1210"
"Male","1130"
"Foreigner",""
"Female","32"
"Male","43"
"Gaderi/Bhedihar",""
"Female","146"
"Male","148"
"Gharti/Bhujel",""
"Female","37"
"Male","35"
"Gurung",""
"Female","69"
"Male","64"
"Hajam/Thakur",""
"Female","726"
"Male","776"
"Halwai",""
"Female","567"
"Male","567"
"Janajati Others",""
"Female","11"
"Male","11"
"Jhangad/ Dhagar",""
"Female","18"
"Male","15"
"Kahar",""
"Female","1818"
"Male","1901"
"Kalwar",""
"Female","283"
"Male","269"
"Kami",""
"Female","556"
"Male","567"
"Kanu",""
"Female","248"
"Male","245"
"Kathabaniyan",""
"Female","1039"
"Male","1028"
"Kayastha",""
"Female","303"
"Male","293"
"Kewat",""
"Female","1158"
"Male","1175"
"Koiri/Kushwaha",""
"Female","178"
"Male","175"
"Kori",""
"Female","881"
"Male","900"
"Kumal",""
"Female","30"
"Male","34"
"Kumhar",""
"Female","9"
"Male","8"
"Kurmi",""
"Female","2576"
"Male","2603"
"Lodh",""
"Female","26"
"Male","30"
"Lohar",""
"Female","279"
"Male","272"
"Magar",""
"Female","535"
"Male","482"
"Majhi",""
"Female","22"
"Male","24"
"Mali",""
"Female","35"
"Male","35"
"Mallaha",""
"Female","294"
"Male","271"
"Marwadi",""
"Female","48"
"Male","51"
"Musahar",""
"Female","6"
"Male","10"
"Musalman",""
"Female","7118"
"Male","6816"
"Newar",""
"Female","199"
"Male","169"
"Others",""
"Female","46"
"Male","32"
"Pattharkatta/ Kushwadiya",""
"Female","25"
"Male","28"
"Rai",""
"Female","12"
"Male","11"
"Rajbhar",""
"Female","59"
"Male","56"
"Rajput",""
"Female","11"
"Male","18"
"Sanyasi/Dasnami",""
"Female","342"
"Male","348"
"Sarki",""
"Female","37"
"Male","38"
"Sonar",""
"Female","7"
"Male","5"
"Tamang",""
"Female","13"
"Male","10"
"Teli",""
"Female","908"
"Male","923"
"Terai Others",""
"Female","391"
"Male","394"
"Thakuri",""
"Female","64"
"Male","63"
"Tharu",""
"Female","1679"
"Male","1664"
"Undefined Others",""
"Female","10"
"Male","8"
"Yadav",""
"Female","4376"
"Male","4613"
"Yakkha",""
"Female","9"
"Male","10"
