"Population by Educational Attainment","Number"
"Beginners",""
"Female","133"
"Male","164"
"Graduate and Equivalent",""
"Female","47"
"Male","108"
"Intermediate and Equivalent",""
"Female","249"
"Male","243"
"Level not Stated",""
"Female","15"
"Male","27"
"Lower Secondary (Class 6-8)",""
"Female","1438"
"Male","1148"
"Non Formal Education",""
"Female","252"
"Male","292"
"Others",""
"Female","2"
"Male","4"
"Post Graduate Equivalent and Above",""
"Female","3"
"Male","32"
"Primary Education (1-5 Class)",""
"Female","2204"
"Male","1912"
"Secondary Level (Class 9-10)",""
"Female","691"
"Male","681"
"SLC and Equivalent",""
"Female","596"
"Male","609"
