"Population by disability type","Number"
"Blind/low vision",""
"Female","72"
"Male","55"
"","127"
"Deaf/hard of hearing",""
"Female","56"
"Male","61"
"","117"
"Deaf-Blind",""
"Female","5"
"Male","3"
"","8"
"Intellectual disable",""
"Female","2"
"Male","5"
"","7"
"Mental disable",""
"Female","3"
"Male","12"
"","15"
"Multiple disable",""
"Female","11"
"Male","15"
"","26"
"No disability",""
"Female","7644"
"Male","7564"
"","15208"
"Physical",""
"Female","105"
"Male","121"
"","226"
"Speech problem",""
"Female","14"
"Male","18"
"","32"
