"Population by disability type","Number"
"Blind/low vision",""
"Female","53"
"Male","64"
"","117"
"Deaf/hard of hearing",""
"Female","46"
"Male","53"
"","99"
"Deaf-Blind",""
"Female","2"
"Male","7"
"","9"
"Intellectual disable",""
"Female","8"
"Male","20"
"","28"
"Mental disable",""
"Female","27"
"Male","16"
"","43"
"Multiple disable",""
"Female","31"
"Male","39"
"","70"
"No disability",""
"Female","17901"
"Male","13987"
"","31888"
"Physical",""
"Female","93"
"Male","126"
"","219"
"Speech problem",""
"Female","33"
"Male","42"
"","75"
