"Population by Educational Attainment","Number"
"Beginners",""
"Female","301"
"Male","312"
"Graduate and Equivalent",""
"Female","18"
"Male","114"
"Intermediate and Equivalent",""
"Female","149"
"Male","212"
"Level not Stated",""
"Female","10"
"Male","9"
"Lower Secondary (Class 6-8)",""
"Female","1261"
"Male","1512"
"Non Formal Education",""
"Female","52"
"Male","35"
"Others",""
"Female","6"
"Male","5"
"Post Graduate Equivalent and Above",""
"Female","2"
"Male","21"
"Primary Education (1-5 Class)",""
"Female","4317"
"Male","4585"
"Secondary Level (Class 9-10)",""
"Female","533"
"Male","703"
"SLC and Equivalent",""
"Female","252"
"Male","369"
