"Population by disability type","Number"
"Blind/low vision",""
"Female","436"
"Male","380"
"","816"
"Deaf/hard of hearing",""
"Female","888"
"Male","838"
"","1726"
"Deaf-Blind",""
"Female","54"
"Male","40"
"","94"
"Intellectual disable",""
"Female","99"
"Male","98"
"","197"
"Mental disable",""
"Female","133"
"Male","112"
"","245"
"Multiple disable",""
"Female","310"
"Male","374"
"","684"
"No disability",""
"Female","59047"
"Male","46939"
"","105986"
"Physical",""
"Female","698"
"Male","888"
"","1586"
"Speech problem",""
"Female","378"
"Male","365"
"","743"
