"Population by disability type","Number"
"Blind/low vision",""
"Female","1089"
"Male","795"
"","1884"
"Deaf/hard of hearing",""
"Female","596"
"Male","661"
"","1257"
"Deaf-Blind",""
"Female","90"
"Male","77"
"","167"
"Intellectual disable",""
"Female","60"
"Male","75"
"","135"
"Mental disable",""
"Female","134"
"Male","195"
"","329"
"Multiple disable",""
"Female","271"
"Male","297"
"","568"
"No disability",""
"Female","133225"
"Male","114371"
"","247596"
"Physical",""
"Female","1747"
"Male","1976"
"","3723"
"Speech problem",""
"Female","201"
"Male","328"
"","529"
