"Population by disability type","Number"
"Blind/low vision",""
"Female","44"
"Male","39"
"","83"
"Deaf/hard of hearing",""
"Female","50"
"Male","66"
"","116"
"Deaf-Blind",""
"Female","3"
"Male","4"
"","7"
"Intellectual disable",""
"Female","9"
"Male","7"
"","16"
"Mental disable",""
"Female","12"
"Male","16"
"","28"
"Multiple disable",""
"Female","15"
"Male","16"
"","31"
"No disability",""
"Female","11764"
"Male","10106"
"","21870"
"Physical",""
"Female","90"
"Male","129"
"","219"
"Speech problem",""
"Female","38"
"Male","66"
"","104"
