"Population by Educational Attainment","Number"
"Beginners",""
"Female","90"
"Male","101"
"Graduate and Equivalent",""
"Female","29"
"Male","87"
"Intermediate and Equivalent",""
"Female","132"
"Male","173"
"Level not Stated",""
"Female","18"
"Male","18"
"Lower Secondary (Class 6-8)",""
"Female","1165"
"Male","1158"
"Non Formal Education",""
"Female","485"
"Male","401"
"Others",""
"Female","7"
"Male","3"
"Post Graduate Equivalent and Above",""
"Female","5"
"Male","11"
"Primary Education (1-5 Class)",""
"Female","2008"
"Male","2068"
"Secondary Level (Class 9-10)",""
"Female","434"
"Male","526"
"SLC and Equivalent",""
"Female","324"
"Male","466"
