"Population by Educational Attainment","Number"
"Beginners",""
"Female","487"
"Male","574"
"","1061"
"Graduate and Equivalent",""
"Female","81"
"Male","187"
"","268"
"Intermediate and Equivalent",""
"Female","464"
"Male","628"
"","1092"
"Level not Stated",""
"Female","51"
"Male","44"
"","95"
"Lower Secondary (Class 6-8)",""
"Female","3350"
"Male","3432"
"","6782"
"Non Formal Education",""
"Female","968"
"Male","736"
"","1704"
"Others",""
"Female","39"
"Male","38"
"","77"
"Post Graduate Equivalent and Above",""
"Female","15"
"Male","68"
"","83"
"Primary Education (1-5 Class)",""
"Female","5794"
"Male","6412"
"","12206"
"Secondary Level (Class 9-10)",""
"Female","1587"
"Male","1716"
"","3303"
"SLC and Equivalent",""
"Female","1543"
"Male","1492"
"","3035"
