"Population by disability type","Number"
"Blind/low vision",""
"Female","77"
"Male","81"
"","158"
"Deaf/hard of hearing",""
"Female","90"
"Male","76"
"","166"
"Deaf-Blind",""
"Female","6"
"Male","5"
"","11"
"Intellectual disable",""
"Female","21"
"Male","26"
"","47"
"Mental disable",""
"Female","38"
"Male","31"
"","69"
"Multiple disable",""
"Female","28"
"Male","38"
"","66"
"No disability",""
"Female","27031"
"Male","23017"
"","50048"
"Physical",""
"Female","139"
"Male","184"
"","323"
"Speech problem",""
"Female","27"
"Male","46"
"","73"
