"Population by Educational Attainment","Number"
"Beginners",""
"Female","339"
"Male","353"
"Graduate and Equivalent",""
"Female","34"
"Male","97"
"Intermediate and Equivalent",""
"Female","234"
"Male","213"
"Level not Stated",""
"Female","19"
"Male","21"
"Lower Secondary (Class 6-8)",""
"Female","1653"
"Male","1356"
"Non Formal Education",""
"Female","441"
"Male","356"
"Others",""
"Female","12"
"Male","4"
"Post Graduate Equivalent and Above",""
"Female","1"
"Male","32"
"Primary Education (1-5 Class)",""
"Female","3097"
"Male","3219"
"Secondary Level (Class 9-10)",""
"Female","608"
"Male","590"
"SLC and Equivalent",""
"Female","495"
"Male","538"
