"Population by Educational Attainment","Number"
"Beginners",""
"Female","301"
"Male","317"
"","618"
"Graduate and Equivalent",""
"Female","18"
"Male","92"
"","110"
"Intermediate and Equivalent",""
"Female","131"
"Male","231"
"","362"
"Level not Stated",""
"Female","12"
"Male","20"
"","32"
"Lower Secondary (Class 6-8)",""
"Female","898"
"Male","1300"
"","2198"
"Non Formal Education",""
"Female","90"
"Male","75"
"","165"
"Others",""
"Female","5"
"Male","3"
"","8"
"Post Graduate Equivalent and Above",""
"Female","2"
"Male","33"
"","35"
"Primary Education (1-5 Class)",""
"Female","2401"
"Male","2846"
"","5247"
"Secondary Level (Class 9-10)",""
"Female","340"
"Male","632"
"","972"
"SLC and Equivalent",""
"Female","301"
"Male","485"
"","786"
