"Population by disability type","Number"
"Blind/low vision",""
"Female","56"
"Male","51"
"","107"
"Deaf/hard of hearing",""
"Female","39"
"Male","37"
"","76"
"Deaf-Blind",""
"Female","5"
"Male","2"
"","7"
"Intellectual disable",""
"Female","6"
"Male","4"
"","10"
"Mental disable",""
"Female","14"
"Male","20"
"","34"
"Multiple disable",""
"Female","12"
"Male","8"
"","20"
"No disability",""
"Female","9813"
"Male","8209"
"","18022"
"Physical",""
"Female","124"
"Male","121"
"","245"
"Speech problem",""
"Female","9"
"Male","19"
"","28"
