"Population by disability type","Number"
"Blind/low vision",""
"Female","194"
"Male","168"
"","362"
"Deaf/hard of hearing",""
"Female","212"
"Male","202"
"","414"
"Deaf-Blind",""
"Female","17"
"Male","21"
"","38"
"Intellectual disable",""
"Female","55"
"Male","71"
"","126"
"Mental disable",""
"Female","91"
"Male","104"
"","195"
"Multiple disable",""
"Female","75"
"Male","79"
"","154"
"No disability",""
"Female","137849"
"Male","144595"
"","282444"
"Physical",""
"Female","357"
"Male","516"
"","873"
"Speech problem",""
"Female","148"
"Male","168"
"","316"
