"Population by Educational Attainment","Number"
"Beginners",""
"Female","259"
"Male","269"
"Graduate and Equivalent",""
"Female","2"
"Male","49"
"Intermediate and Equivalent",""
"Female","58"
"Male","158"
"Level not Stated",""
"Female","18"
"Male","16"
"Lower Secondary (Class 6-8)",""
"Female","506"
"Male","1163"
"Non Formal Education",""
"Female","83"
"Male","59"
"Others",""
"Female","5"
"Male","9"
"Post Graduate Equivalent and Above",""
"Female","0"
"Male","11"
"Primary Education (1-5 Class)",""
"Female","2233"
"Male","2949"
"Secondary Level (Class 9-10)",""
"Female","120"
"Male","465"
"SLC and Equivalent",""
"Female","50"
"Male","150"
