"Population by Educational Attainment","Number"
"Beginners",""
"Female","4439"
"Male","5300"
"Graduate and Equivalent",""
"Female","5285"
"Male","8902"
"Intermediate and Equivalent",""
"Female","15984"
"Male","18568"
"Level not Stated",""
"Female","459"
"Male","418"
"Lower Secondary (Class 6-8)",""
"Female","32429"
"Male","30300"
"Non Formal Education",""
"Female","6425"
"Male","4605"
"Others",""
"Female","76"
"Male","89"
"Post Graduate Equivalent and Above",""
"Female","1163"
"Male","3818"
"Primary Education (1-5 Class)",""
"Female","41905"
"Male","42790"
"Secondary Level (Class 9-10)",""
"Female","22633"
"Male","22490"
"SLC and Equivalent",""
"Female","21793"
"Male","25419"
