"Population by Educational Attainment","Number"
"Beginners",""
"Female","193"
"Male","230"
"Graduate and Equivalent",""
"Female","19"
"Male","82"
"Intermediate and Equivalent",""
"Female","147"
"Male","211"
"Level not Stated",""
"Female","19"
"Male","14"
"Lower Secondary (Class 6-8)",""
"Female","1484"
"Male","1323"
"Non Formal Education",""
"Female","231"
"Male","267"
"Others",""
"Female","6"
"Male","8"
"Post Graduate Equivalent and Above",""
"Female","4"
"Male","22"
"Primary Education (1-5 Class)",""
"Female","2666"
"Male","2695"
"Secondary Level (Class 9-10)",""
"Female","634"
"Male","711"
"SLC and Equivalent",""
"Female","450"
"Male","544"
