"Population by disability type","Number"
"Blind/low vision",""
"Female","42"
"Male","31"
"","73"
"Deaf/hard of hearing",""
"Female","21"
"Male","15"
"","36"
"Deaf-Blind",""
"Female","3"
"Male","3"
"","6"
"Intellectual disable",""
"Female","3"
"Male","3"
"","6"
"Mental disable",""
"Female","5"
"Male","8"
"","13"
"Multiple disable",""
"Female","7"
"Male","4"
"","11"
"No disability",""
"Female","7139"
"Male","6330"
"","13469"
"Physical",""
"Female","55"
"Male","55"
"","110"
"Speech problem",""
"Female","15"
"Male","22"
"","37"
