"Population by disability type","Number"
"Blind/low vision",""
"Female","77"
"Male","80"
"","157"
"Deaf/hard of hearing",""
"Female","90"
"Male","97"
"","187"
"Deaf-Blind",""
"Female","7"
"Male","5"
"","12"
"Intellectual disable",""
"Female","6"
"Male","3"
"","9"
"Mental disable",""
"Female","19"
"Male","18"
"","37"
"Multiple disable",""
"Female","36"
"Male","33"
"","69"
"No disability",""
"Female","12702"
"Male","10127"
"","22829"
"Physical",""
"Female","125"
"Male","114"
"","239"
"Speech problem",""
"Female","45"
"Male","44"
"","89"
