"Population by disability type","Number"
"Blind/low vision",""
"Female","56"
"Male","58"
"","114"
"Deaf/hard of hearing",""
"Female","65"
"Male","67"
"","132"
"Deaf-Blind",""
"Female","7"
"Male","4"
"","11"
"Intellectual disable",""
"Female","19"
"Male","22"
"","41"
"Mental disable",""
"Female","29"
"Male","34"
"","63"
"Multiple disable",""
"Female","26"
"Male","28"
"","54"
"No disability",""
"Female","18342"
"Male","13493"
"","31835"
"Physical",""
"Female","130"
"Male","182"
"","312"
"Speech problem",""
"Female","31"
"Male","47"
"","78"
