"Population by disability type","Number"
"Blind/low vision",""
"Female","94"
"Male","152"
"","246"
"Deaf/hard of hearing",""
"Female","8"
"Male","16"
"","24"
"Deaf-Blind",""
"Female","1"
"Male","1"
"","2"
"Intellectual disable",""
"Female","4"
"Male","5"
"","9"
"Mental disable",""
"Female","5"
"Male","22"
"","27"
"Multiple disable",""
"Female","15"
"Male","11"
"","26"
"No disability",""
"Female","18754"
"Male","20424"
"","39178"
"Physical",""
"Female","50"
"Male","79"
"","129"
"Speech problem",""
"Female","8"
"Male","24"
"","32"
