"Population by disability type","Number"
"Blind/low vision",""
"Female","453"
"Male","386"
"","839"
"Deaf/hard of hearing",""
"Female","330"
"Male","331"
"","661"
"Deaf-Blind",""
"Female","50"
"Male","45"
"","95"
"Intellectual disable",""
"Female","41"
"Male","40"
"","81"
"Mental disable",""
"Female","79"
"Male","98"
"","177"
"Multiple disable",""
"Female","153"
"Male","182"
"","335"
"No disability",""
"Female","107177"
"Male","89830"
"","197007"
"Physical",""
"Female","727"
"Male","991"
"","1718"
"Speech problem",""
"Female","230"
"Male","280"
"","510"
