"Population by disability type","Number"
"Blind/low vision",""
"Female","80"
"Male","78"
"","158"
"Deaf/hard of hearing",""
"Female","61"
"Male","77"
"","138"
"Deaf-Blind",""
"Female","8"
"Male","7"
"","15"
"Intellectual disable",""
"Female","7"
"Male","15"
"","22"
"Mental disable",""
"Female","33"
"Male","26"
"","59"
"Multiple disable",""
"Female","19"
"Male","47"
"","66"
"No disability",""
"Female","11775"
"Male","9136"
"","20911"
"Physical",""
"Female","122"
"Male","180"
"","302"
"Speech problem",""
"Female","22"
"Male","36"
"","58"
