"Population by disability type","Number"
"Blind/low vision",""
"Female","20"
"Male","27"
"","47"
"Deaf/hard of hearing",""
"Female","21"
"Male","14"
"","35"
"Deaf-Blind",""
"Female","1"
"Male","4"
"","5"
"Intellectual disable",""
"Female","6"
"Male","6"
"","12"
"Mental disable",""
"Female","12"
"Male","26"
"","38"
"Multiple disable",""
"Female","12"
"Male","17"
"","29"
"No disability",""
"Female","17977"
"Male","17093"
"","35070"
"Physical",""
"Female","48"
"Male","92"
"","140"
"Speech problem",""
"Female","21"
"Male","32"
"","53"
