"Population by Educational Attainment","Number"
"Beginners",""
"Female","757"
"Male","892"
"Graduate and Equivalent",""
"Female","369"
"Male","800"
"Intermediate and Equivalent",""
"Female","1460"
"Male","1757"
"Level not Stated",""
"Female","112"
"Male","92"
"Lower Secondary (Class 6-8)",""
"Female","5663"
"Male","5638"
"Non Formal Education",""
"Female","1828"
"Male","1821"
"Others",""
"Female","3"
"Male","3"
"Post Graduate Equivalent and Above",""
"Female","79"
"Male","267"
"Primary Education (1-5 Class)",""
"Female","8965"
"Male","9703"
"Secondary Level (Class 9-10)",""
"Female","4206"
"Male","3976"
"SLC and Equivalent",""
"Female","3864"
"Male","3756"
