"Population by Caste/Ethinicity","Number"
"Badhaee",""
"Female","30"
"Male","38"
"Bangali",""
"Female","16"
"Male","26"
"Baraee",""
"Female","117"
"Male","109"
"Bin",""
"Female","131"
"Male","123"
"Brahman - Hill",""
"Female","103"
"Male","132"
"Brahman - Tarai",""
"Female","87"
"Male","101"
"Chamar/ Harijan/ Ram",""
"Female","1091"
"Male","1129"
"Chhetri",""
"Female","28"
"Male","28"
"Damai/Dholi",""
"Female","91"
"Male","123"
"Dhanuk",""
"Female","262"
"Male","282"
"Dhobi",""
"Female","279"
"Male","292"
"Dom",""
"Female","53"
"Male","54"
"Dusadh/ Pasawan/ Pasi",""
"Female","472"
"Male","522"
"Gaderi/Bhedihar",""
"Female","253"
"Male","274"
"Hajam/Thakur",""
"Female","364"
"Male","377"
"Halwai",""
"Female","12"
"Male","11"
"Kahar",""
"Female","116"
"Male","154"
"Kalwar",""
"Female","1260"
"Male","1488"
"Kanu",""
"Female","1827"
"Male","1958"
"Kathabaniyan",""
"Female","1160"
"Male","1263"
"Kayastha",""
"Female","52"
"Male","62"
"Koche",""
"Female","34"
"Male","29"
"Koiri/Kushwaha",""
"Female","156"
"Male","181"
"Kumal",""
"Female","37"
"Male","47"
"Kumhar",""
"Female","399"
"Male","421"
"Kurmi",""
"Female","827"
"Male","872"
"Lohar",""
"Female","458"
"Male","482"
"Magar",""
"Female","71"
"Male","87"
"Mali",""
"Female","56"
"Male","65"
"Mallaha",""
"Female","3099"
"Male","3163"
"Musahar",""
"Female","129"
"Male","136"
"Musalman",""
"Female","4114"
"Male","4123"
"Newar",""
"Female","13"
"Male","10"
"Nuniya",""
"Female","111"
"Male","123"
"Others",""
"Female","28"
"Male","18"
"Rai",""
"Female","38"
"Male","44"
"Rajput",""
"Female","18"
"Male","24"
"Sanyasi/Dasnami",""
"Female","65"
"Male","70"
"Sonar",""
"Female","338"
"Male","338"
"Sudhi",""
"Female","33"
"Male","30"
"Tatma/Tatwa",""
"Female","498"
"Male","513"
"Teli",""
"Female","1366"
"Male","1546"
"Terai Others",""
"Female","21"
"Male","13"
"Thakuri",""
"Female","6"
"Male","8"
"Tharu",""
"Female","221"
"Male","217"
"Yadav",""
"Female","4507"
"Male","4855"
"Yakkha",""
"Female","36"
"Male","37"
