"Population by Single Year of Age","Number"
"0",""
"Female","402"
"Male","389"
"1",""
"Female","415"
"Male","434"
"10",""
"Female","1099"
"Male","1237"
"11",""
"Female","477"
"Male","439"
"12",""
"Female","893"
"Male","967"
"13",""
"Female","419"
"Male","457"
"14",""
"Female","543"
"Male","557"
"15",""
"Female","569"
"Male","700"
"16",""
"Female","415"
"Male","517"
"17",""
"Female","285"
"Male","377"
"18",""
"Female","481"
"Male","614"
"19",""
"Female","206"
"Male","226"
"2",""
"Female","641"
"Male","653"
"20",""
"Female","713"
"Male","722"
"21",""
"Female","170"
"Male","210"
"22",""
"Female","442"
"Male","426"
"23",""
"Female","289"
"Male","265"
"24",""
"Female","252"
"Male","266"
"25",""
"Female","868"
"Male","796"
"26",""
"Female","235"
"Male","246"
"27",""
"Female","237"
"Male","287"
"28",""
"Female","471"
"Male","419"
"29",""
"Female","78"
"Male","115"
"3",""
"Female","725"
"Male","728"
"30",""
"Female","963"
"Male","887"
"31",""
"Female","83"
"Male","76"
"32",""
"Female","442"
"Male","354"
"33",""
"Female","181"
"Male","131"
"34",""
"Female","116"
"Male","129"
"35",""
"Female","815"
"Male","1020"
"36",""
"Female","114"
"Male","150"
"37",""
"Female","111"
"Male","136"
"38",""
"Female","338"
"Male","209"
"39",""
"Female","50"
"Male","60"
"4",""
"Female","759"
"Male","792"
"40",""
"Female","689"
"Male","898"
"41",""
"Female","39"
"Male","56"
"42",""
"Female","201"
"Male","199"
"43",""
"Female","130"
"Male","85"
"44",""
"Female","61"
"Male","50"
"45",""
"Female","598"
"Male","759"
"46",""
"Female","49"
"Male","86"
"47",""
"Female","63"
"Male","88"
"48",""
"Female","168"
"Male","145"
"49",""
"Female","21"
"Male","33"
"5",""
"Female","900"
"Male","977"
"50",""
"Female","461"
"Male","600"
"51",""
"Female","22"
"Male","27"
"52",""
"Female","83"
"Male","71"
"53",""
"Female","39"
"Male","47"
"54",""
"Female","31"
"Male","32"
"55",""
"Female","418"
"Male","444"
"56",""
"Female","45"
"Male","40"
"57",""
"Female","49"
"Male","41"
"58",""
"Female","144"
"Male","82"
"59",""
"Female","22"
"Male","32"
"6",""
"Female","872"
"Male","869"
"60",""
"Female","454"
"Male","548"
"61",""
"Female","27"
"Male","24"
"62",""
"Female","98"
"Male","77"
"63",""
"Female","42"
"Male","27"
"64",""
"Female","36"
"Male","21"
"65",""
"Female","373"
"Male","394"
"66",""
"Female","26"
"Male","28"
"67",""
"Female","33"
"Male","29"
"68",""
"Female","57"
"Male","89"
"69",""
"Female","14"
"Male","32"
"7",""
"Female","730"
"Male","758"
"70",""
"Female","296"
"Male","328"
"71",""
"Female","16"
"Male","24"
"72",""
"Female","38"
"Male","57"
"73",""
"Female","12"
"Male","11"
"74",""
"Female","7"
"Male","7"
"75",""
"Female","118"
"Male","120"
"76",""
"Female","4"
"Male","11"
"77",""
"Female","5"
"Male","6"
"78",""
"Female","18"
"Male","16"
"79",""
"Female","1"
"Male","3"
"8",""
"Female","1023"
"Male","1124"
"80",""
"Female","67"
"Male","70"
"81",""
"Female","2"
"Male","4"
"82",""
"Female","6"
"Male","2"
"83",""
"Female","1"
"Male","0"
"84",""
"Female","1"
"Male","1"
"85",""
"Female","75"
"Male","55"
"9",""
"Female","506"
"Male","500"
