"Population by disability type","Number"
"Blind/low vision",""
"Female","52"
"Male","33"
"","85"
"Deaf/hard of hearing",""
"Female","43"
"Male","59"
"","102"
"Deaf-Blind",""
"Female","4"
"Male","5"
"","9"
"Intellectual disable",""
"Female","15"
"Male","11"
"","26"
"Mental disable",""
"Female","20"
"Male","15"
"","35"
"Multiple disable",""
"Female","37"
"Male","37"
"","74"
"No disability",""
"Female","17836"
"Male","12457"
"","30293"
"Physical",""
"Female","115"
"Male","131"
"","246"
"Speech problem",""
"Female","33"
"Male","37"
"","70"
