"Population by disability type","Number"
"Blind/low vision",""
"Female","58"
"Male","68"
"","126"
"Deaf/hard of hearing",""
"Female","101"
"Male","102"
"","203"
"Deaf-Blind",""
"Female","7"
"Male","6"
"","13"
"Intellectual disable",""
"Female","4"
"Male","6"
"","10"
"Mental disable",""
"Female","6"
"Male","9"
"","15"
"Multiple disable",""
"Female","21"
"Male","14"
"","35"
"No disability",""
"Female","9099"
"Male","8139"
"","17238"
"Physical",""
"Female","73"
"Male","125"
"","198"
"Speech problem",""
"Female","51"
"Male","43"
"","94"
