"Population by Caste Ethinicity","Number"
"Badhaee",""
"Female","42"
"Male","47"
"","89"
"Baraee",""
"Female","303"
"Male","338"
"","641"
"Brahman - Hill",""
"Female","11"
"Male","4"
"","15"
"Brahman - Tarai",""
"Female","417"
"Male","385"
"","802"
"Chamar/ Harijan/ Ram",""
"Female","469"
"Male","416"
"","885"
"Chhetri",""
"Female","6"
"Male","5"
"","11"
"Dhanuk",""
"Female","755"
"Male","736"
"","1491"
"Dhobi",""
"Female","170"
"Male","171"
"","341"
"Dhunia",""
"Female","55"
"Male","69"
"","124"
"Dom",""
"Female","19"
"Male","22"
"","41"
"Dusadh/ Pasawan/ Pasi",""
"Female","411"
"Male","441"
"","852"
"Gaderi/Bhedihar",""
"Female","12"
"Male","16"
"","28"
"Hajam/Thakur",""
"Female","137"
"Male","133"
"","270"
"Halwai",""
"Female","77"
"Male","73"
"","150"
"Kalwar",""
"Female","215"
"Male","213"
"","428"
"Kami",""
"Female","68"
"Male","54"
"","122"
"Kanu",""
"Female","24"
"Male","17"
"","41"
"Kathabaniyan",""
"Female","12"
"Male","12"
"","24"
"Kayastha",""
"Female","19"
"Male","17"
"","36"
"Khatwe",""
"Female","478"
"Male","509"
"","987"
"Koiri/Kushwaha",""
"Female","58"
"Male","66"
"","124"
"Kumal",""
"Female","251"
"Male","203"
"","454"
"Kumhar",""
"Female","122"
"Male","132"
"","254"
"Kurmi",""
"Female","125"
"Male","113"
"","238"
"Lohar",""
"Female","144"
"Male","149"
"","293"
"Mali",""
"Female","16"
"Male","16"
"","32"
"Mallaha",""
"Female","9"
"Male","7"
"","16"
"Musahar",""
"Female","299"
"Male","303"
"","602"
"Musalman",""
"Female","7287"
"Male","6977"
"","14264"
"Nuniya",""
"Female","467"
"Male","489"
"","956"
"Others",""
"Female","33"
"Male","17"
"","50"
"Sanyasi/Dasnami",""
"Female","46"
"Male","41"
"","87"
"Satar/ Santhal",""
"Female","19"
"Male","25"
"","44"
"Sonar",""
"Female","257"
"Male","263"
"","520"
"Sudhi",""
"Female","357"
"Male","368"
"","725"
"Teli",""
"Female","413"
"Male","425"
"","838"
"Terai Others",""
"Female","9"
"Male","9"
"","18"
"Tharu",""
"Female","19"
"Male","12"
"","31"
"Undefined Others",""
"Female","11"
"Male","4"
"","15"
"Yadav",""
"Female","3410"
"Male","3442"
"","6852"
