"Population by Educational Attainment","Number"
"Beginners",""
"Female","87"
"Male","93"
"","180"
"Graduate and Equivalent",""
"Female","11"
"Male","109"
"","120"
"Intermediate and Equivalent",""
"Female","88"
"Male","297"
"","385"
"Level not Stated",""
"Female","34"
"Male","44"
"","78"
"Lower Secondary (Class 6-8)",""
"Female","640"
"Male","1194"
"","1834"
"Non Formal Education",""
"Female","27"
"Male","36"
"","63"
"Others",""
"Female","153"
"Male","216"
"","369"
"Post Graduate Equivalent and Above",""
"Female","3"
"Male","23"
"","26"
"Primary Education (1-5 Class)",""
"Female","2173"
"Male","2874"
"","5047"
"Secondary Level (Class 9-10)",""
"Female","224"
"Male","516"
"","740"
"SLC and Equivalent",""
"Female","153"
"Male","388"
"","541"
