"Population by disability type","Number"
"Blind/low vision",""
"Female","78"
"Male","69"
"","147"
"Deaf/hard of hearing",""
"Female","43"
"Male","56"
"","99"
"Deaf-Blind",""
"Female","7"
"Male","6"
"","13"
"Intellectual disable",""
"Female","4"
"Male","4"
"","8"
"Mental disable",""
"Female","7"
"Male","4"
"","11"
"Multiple disable",""
"Female","16"
"Male","15"
"","31"
"No disability",""
"Female","11732"
"Male","11689"
"","23421"
"Physical",""
"Female","73"
"Male","66"
"","139"
"Speech problem",""
"Female","19"
"Male","34"
"","53"
