"Population by disability type","Number"
"Blind/low vision",""
"Female","24"
"Male","34"
"","58"
"Deaf/hard of hearing",""
"Female","14"
"Male","8"
"","22"
"Deaf-Blind",""
"Female","3"
"Male","5"
"","8"
"Intellectual disable",""
"Female","0"
"Male","3"
"","3"
"Mental disable",""
"Female","6"
"Male","10"
"","16"
"Multiple disable",""
"Female","5"
"Male","10"
"","15"
"No disability",""
"Female","11573"
"Male","12056"
"","23629"
"Physical",""
"Female","39"
"Male","64"
"","103"
"Speech problem",""
"Female","9"
"Male","21"
"","30"
