"Population by Educational Attainment","Number"
"Beginners",""
"Female","17"
"Male","31"
"","48"
"Graduate and Equivalent",""
"Female","21"
"Male","118"
"","139"
"Intermediate and Equivalent",""
"Female","117"
"Male","327"
"","444"
"Level not Stated",""
"Female","27"
"Male","33"
"","60"
"Lower Secondary (Class 6-8)",""
"Female","450"
"Male","870"
"","1320"
"Non Formal Education",""
"Female","23"
"Male","19"
"","42"
"Others",""
"Female","1"
"Male","8"
"","9"
"Post Graduate Equivalent and Above",""
"Female","10"
"Male","51"
"","61"
"Primary Education (1-5 Class)",""
"Female","1622"
"Male","2102"
"","3724"
"Secondary Level (Class 9-10)",""
"Female","207"
"Male","570"
"","777"
"SLC and Equivalent",""
"Female","122"
"Male","398"
"","520"
