"Population by disability type","Number"
"Blind/low vision",""
"Female","31"
"Male","25"
"","56"
"Deaf/hard of hearing",""
"Female","22"
"Male","12"
"","34"
"Deaf-Blind",""
"Female","3"
"Male","2"
"","5"
"Intellectual disable",""
"Female","3"
"Male","7"
"","10"
"Mental disable",""
"Female","9"
"Male","13"
"","22"
"Multiple disable",""
"Female","8"
"Male","11"
"","19"
"No disability",""
"Female","13419"
"Male","12661"
"","26080"
"Physical",""
"Female","52"
"Male","69"
"","121"
"Speech problem",""
"Female","16"
"Male","24"
"","40"
