"Population by Educational Attainment","Number"
"Beginners",""
"Female","127"
"Male","179"
"","306"
"Graduate and Equivalent",""
"Female","48"
"Male","194"
"","242"
"Intermediate and Equivalent",""
"Female","188"
"Male","433"
"","621"
"Level not Stated",""
"Female","66"
"Male","50"
"","116"
"Lower Secondary (Class 6-8)",""
"Female","937"
"Male","1532"
"","2469"
"Non Formal Education",""
"Female","116"
"Male","138"
"","254"
"Others",""
"Female","9"
"Male","19"
"","28"
"Post Graduate Equivalent and Above",""
"Female","4"
"Male","30"
"","34"
"Primary Education (1-5 Class)",""
"Female","2331"
"Male","2815"
"","5146"
"Secondary Level (Class 9-10)",""
"Female","610"
"Male","1212"
"","1822"
"SLC and Equivalent",""
"Female","318"
"Male","739"
"","1057"
