"Population by disability type","Number"
"Blind/low vision",""
"Female","60"
"Male","53"
"","113"
"Deaf/hard of hearing",""
"Female","29"
"Male","21"
"","50"
"Deaf-Blind",""
"Female","6"
"Male","7"
"","13"
"Intellectual disable",""
"Female","10"
"Male","10"
"","20"
"Mental disable",""
"Female","17"
"Male","28"
"","45"
"Multiple disable",""
"Female","20"
"Male","10"
"","30"
"No disability",""
"Female","17123"
"Male","16600"
"","33723"
"Physical",""
"Female","57"
"Male","89"
"","146"
"Speech problem",""
"Female","20"
"Male","31"
"","51"
