"Population by Educational Attainment","Number"
"Beginners",""
"Female","657"
"Male","791"
"","1448"
"Graduate and Equivalent",""
"Female","168"
"Male","319"
"","487"
"Intermediate and Equivalent",""
"Female","445"
"Male","679"
"","1124"
"Level not Stated",""
"Female","29"
"Male","49"
"","78"
"Lower Secondary (Class 6-8)",""
"Female","2063"
"Male","2928"
"","4991"
"Non Formal Education",""
"Female","118"
"Male","60"
"","178"
"Others",""
"Female","18"
"Male","3"
"","21"
"Post Graduate Equivalent and Above",""
"Female","25"
"Male","96"
"","121"
"Primary Education (1-5 Class)",""
"Female","3850"
"Male","4441"
"","8291"
"Secondary Level (Class 9-10)",""
"Female","1118"
"Male","1891"
"","3009"
"SLC and Equivalent",""
"Female","398"
"Male","740"
"","1138"
