"Population by disability type","Number"
"Blind/low vision",""
"Female","37"
"Male","37"
"","74"
"Deaf/hard of hearing",""
"Female","37"
"Male","33"
"","70"
"Deaf-Blind",""
"Female","7"
"Male","8"
"","15"
"Intellectual disable",""
"Female","11"
"Male","13"
"","24"
"Mental disable",""
"Female","17"
"Male","15"
"","32"
"Multiple disable",""
"Female","6"
"Male","16"
"","22"
"No disability",""
"Female","12128"
"Male","9117"
"","21245"
"Physical",""
"Female","76"
"Male","110"
"","186"
"Speech problem",""
"Female","27"
"Male","23"
"","50"
