"Population by Educational Attainment","Number"
"Beginners",""
"Female","811"
"Male","1188"
"Graduate and Equivalent",""
"Female","1078"
"Male","2106"
"Intermediate and Equivalent",""
"Female","3207"
"Male","4621"
"Level not Stated",""
"Female","367"
"Male","455"
"Lower Secondary (Class 6-8)",""
"Female","7157"
"Male","7958"
"Non Formal Education",""
"Female","1594"
"Male","1234"
"Others",""
"Female","34"
"Male","39"
"Post Graduate Equivalent and Above",""
"Female","280"
"Male","1108"
"Primary Education (1-5 Class)",""
"Female","11310"
"Male","12146"
"Secondary Level (Class 9-10)",""
"Female","4678"
"Male","6123"
"SLC and Equivalent",""
"Female","3308"
"Male","4076"
