"Population by disability type","Number"
"Blind/low vision",""
"Female","45"
"Male","36"
"","81"
"Deaf/hard of hearing",""
"Female","83"
"Male","84"
"","167"
"Deaf-Blind",""
"Female","6"
"Male","7"
"","13"
"Intellectual disable",""
"Female","12"
"Male","10"
"","22"
"Mental disable",""
"Female","20"
"Male","22"
"","42"
"Multiple disable",""
"Female","31"
"Male","41"
"","72"
"No disability",""
"Female","10247"
"Male","8371"
"","18618"
"Physical",""
"Female","71"
"Male","105"
"","176"
"Speech problem",""
"Female","45"
"Male","47"
"","92"
