"Population by disability type","Number"
"Blind/low vision",""
"Female","63"
"Male","72"
"","135"
"Deaf/hard of hearing",""
"Female","72"
"Male","82"
"","154"
"Deaf-Blind",""
"Female","24"
"Male","19"
"","43"
"Intellectual disable",""
"Female","22"
"Male","20"
"","42"
"Mental disable",""
"Female","30"
"Male","45"
"","75"
"Multiple disable",""
"Female","53"
"Male","58"
"","111"
"No disability",""
"Female","29574"
"Male","25509"
"","55083"
"Physical",""
"Female","108"
"Male","201"
"","309"
"Speech problem",""
"Female","73"
"Male","69"
"","142"
