"Population by disability type","Number"
"Blind/low vision",""
"Female","17"
"Male","18"
"","35"
"Deaf/hard of hearing",""
"Female","34"
"Male","26"
"","60"
"Deaf-Blind",""
"Female","1"
"Male","1"
"","2"
"Intellectual disable",""
"Female","1"
"Male","1"
"","2"
"Mental disable",""
"Female","3"
"Male","1"
"","4"
"Multiple disable",""
"Female","5"
"Male","15"
"","20"
"No disability",""
"Female","3574"
"Male","3146"
"","6720"
"Physical",""
"Female","18"
"Male","27"
"","45"
"Speech problem",""
"Female","12"
"Male","23"
"","35"
