"Population by disability type","Number"
"Blind/low vision",""
"Female","72"
"Male","94"
"","166"
"Deaf/hard of hearing",""
"Female","46"
"Male","58"
"","104"
"Deaf-Blind",""
"Female","4"
"Male","4"
"","8"
"Intellectual disable",""
"Female","14"
"Male","20"
"","34"
"Mental disable",""
"Female","27"
"Male","42"
"","69"
"Multiple disable",""
"Female","26"
"Male","33"
"","59"
"No disability",""
"Female","25423"
"Male","24393"
"","49816"
"Physical",""
"Female","154"
"Male","246"
"","400"
"Speech problem",""
"Female","35"
"Male","67"
"","102"
