"Population by Caste Ethinicity","Number"
"Badhaee",""
"Female","22"
"Male","35"
"","57"
"Badi",""
"Female","18"
"Male","14"
"","32"
"Bangali",""
"Female","91"
"Male","124"
"","215"
"Baraee",""
"Female","8"
"Male","18"
"","26"
"Bote",""
"Female","7"
"Male","6"
"","13"
"Brahman - Hill",""
"Female","2838"
"Male","2589"
"","5427"
"Brahman - Tarai",""
"Female","270"
"Male","300"
"","570"
"Chamar/ Harijan/ Ram",""
"Female","1311"
"Male","1462"
"","2773"
"Chhetri",""
"Female","2215"
"Male","1866"
"","4081"
"Chidimar",""
"Female","7"
"Male","13"
"","20"
"Dalit Others",""
"Female","227"
"Male","260"
"","487"
"Damai/Dholi",""
"Female","403"
"Male","379"
"","782"
"Dhanuk",""
"Female","10"
"Male","8"
"","18"
"Dhobi",""
"Female","345"
"Male","390"
"","735"
"Dusadh/ Pasawan/ Pasi",""
"Female","484"
"Male","521"
"","1005"
"Foreigner",""
"Female","13"
"Male","11"
"","24"
"Gaderi/Bhedihar",""
"Female","88"
"Male","93"
"","181"
"Gaine",""
"Female","18"
"Male","17"
"","35"
"Gharti/Bhujel",""
"Female","15"
"Male","13"
"","28"
"Gurung",""
"Female","97"
"Male","85"
"","182"
"Hajam/Thakur",""
"Female","247"
"Male","269"
"","516"
"Halwai",""
"Female","244"
"Male","289"
"","533"
"Kahar",""
"Female","24"
"Male","23"
"","47"
"Kalwar",""
"Female","33"
"Male","41"
"","74"
"Kami",""
"Female","1418"
"Male","1182"
"","2600"
"Kanu",""
"Female","9"
"Male","14"
"","23"
"Kathabaniyan",""
"Female","314"
"Male","357"
"","671"
"Kayastha",""
"Female","233"
"Male","252"
"","485"
"Kewat",""
"Female","50"
"Male","56"
"","106"
"Koiri/Kushwaha",""
"Female","176"
"Male","172"
"","348"
"Kori",""
"Female","49"
"Male","72"
"","121"
"Kumal",""
"Female","49"
"Male","46"
"","95"
"Kumhar",""
"Female","13"
"Male","13"
"","26"
"Kurmi",""
"Female","395"
"Male","442"
"","837"
"Lodh",""
"Female","1732"
"Male","1923"
"","3655"
"Lohar",""
"Female","43"
"Male","41"
"","84"
"Magar",""
"Female","737"
"Male","702"
"","1439"
"Majhi",""
"Female","6"
"Male","5"
"","11"
"Mallaha",""
"Female","2246"
"Male","2426"
"","4672"
"Marwadi",""
"Female","13"
"Male","16"
"","29"
"Musahar",""
"Female","16"
"Male","22"
"","38"
"Musalman",""
"Female","3728"
"Male","3758"
"","7486"
"Newar",""
"Female","270"
"Male","255"
"","525"
"Others",""
"Female","36"
"Male","27"
"","63"
"Pattharkatta/ Kushwadiya",""
"Female","43"
"Male","43"
"","86"
"Rai",""
"Female","6"
"Male","7"
"","13"
"Rajbhar",""
"Female","32"
"Male","41"
"","73"
"Raji",""
"Female","24"
"Male","32"
"","56"
"Rajput",""
"Female","11"
"Male","21"
"","32"
"Sanyasi/Dasnami",""
"Female","145"
"Male","138"
"","283"
"Sarki",""
"Female","49"
"Male","29"
"","78"
"Satar/ Santhal",""
"Female","79"
"Male","89"
"","168"
"Sherpa",""
"Female","39"
"Male","29"
"","68"
"Sonar",""
"Female","8"
"Male","10"
"","18"
"Sudhi",""
"Female","6"
"Male","6"
"","12"
"Tamang",""
"Female","32"
"Male","15"
"","47"
"Teli",""
"Female","238"
"Male","254"
"","492"
"Terai Others",""
"Female","512"
"Male","514"
"","1026"
"Thakuri",""
"Female","338"
"Male","303"
"","641"
"Tharu",""
"Female","8237"
"Male","8100"
"","16337"
"Undefined Others",""
"Female","9"
"Male","9"
"","18"
"Yadav",""
"Female","2876"
"Male","3180"
"","6056"
